FIPS,Name,State
21201,Robertson,KY
21203,Rockcastle,KY
21205,Rowan,KY
21207,Russell,KY
21209,Scott,KY
21211,Shelby,KY
21213,Simpson,KY
21215,Spencer,KY
21217,Taylor,KY
21219,Todd,KY
21221,Trigg,KY
21223,Trimble,KY
21225,Union,KY
21227,Warren,KY
21229,Washington,KY
21231,Wayne,KY
21233,Webster,KY
21235,Whitley,KY
21237,Wolfe,KY
21239,Woodford,KY
39001,Adams,OH
39003,Allen,OH
39005,Ashland,OH
39007,Ashtabula,OH
39009,Athens,OH
39011,Auglaize,OH
39013,Belmont,OH
39015,Brown,OH
39017,Butler,OH
39019,Carroll,OH
39021,Champaign,OH
39023,Clark,OH
39025,Clermont,OH
39027,Clinton,OH
39029,Columbiana,OH
39031,Coshocton,OH
39033,Crawford,OH
39035,Cuyahoga,OH
39037,Darke,OH
39039,Defiance,OH
39041,Delaware,OH
39043,Erie,OH
39045,Fairfield,OH
39047,Fayette,OH
39049,Franklin,OH
39051,Fulton,OH
39053,Gallia,OH
39055,Geauga,OH
39057,Greene,OH
39059,Guernsey,OH
39061,Hamilton,OH
39063,Hancock,OH
39065,Hardin,OH
39067,Harrison,OH
39069,Henry,OH
39071,Highland,OH
39073,Hocking,OH
39075,Holmes,OH
39077,Huron,OH
39079,Jackson,OH
39081,Jefferson,OH
39083,Knox,OH
39085,Lake,OH
39087,Lawrence,OH
39089,Licking,OH
39091,Logan,OH
39093,Lorain,OH
39095,Lucas,OH
39097,Madison,OH
39099,Mahoning,OH
39101,Marion,OH
39103,Medina,OH
39105,Meigs,OH
39107,Mercer,OH
39109,Miami,OH
39111,Monroe,OH
39113,Montgomery,OH
39115,Morgan,OH
39117,Morrow,OH
39119,Muskingum,OH
39121,Noble,OH
39123,Ottawa,OH
39125,Paulding,OH
39127,Perry,OH
39129,Pickaway,OH
39131,Pike,OH
39133,Portage,OH
39135,Preble,OH
39137,Putnam,OH
39139,Richland,OH
39141,Ross,OH
39143,Sandusky,OH
39145,Scioto,OH
39147,Seneca,OH
39149,Shelby,OH
39151,Stark,OH
39153,Summit,OH
39155,Trumbull,OH
39157,Tuscarawas,OH
39159,Union,OH
39161,Van Wert,OH
39163,Vinton,OH
39165,Warren,OH
39167,Washington,OH
39169,Wayne,OH
39171,Williams,OH
39173,Wood,OH
39175,Wyandot,OH
54001,Barbour,WV
54003,Berkeley,WV
54005,Boone,WV
54007,Braxton,WV
54009,Brooke,WV
54011,Cabell,WV
54013,Calhoun,WV
54015,Clay,WV
54017,Doddridge,WV
54019,Fayette,WV
54021,Gilmer,WV
54023,Grant,WV
54025,Greenbrier,WV
54027,Hampshire,WV
54029,Hancock,WV
54031,Hardy,WV
54033,Harrison,WV
54035,Jackson,WV
54037,Jefferson,WV
54039,Kanawha,WV
54041,Lewis,WV
54043,Lincoln,WV
54045,Logan,WV
54047,McDowell,WV
54049,Marion,WV
54051,Marshall,WV
54053,Mason,WV
54055,Mercer,WV
54057,Mineral,WV
54059,Mingo,WV
54061,Monongalia,WV
54063,Monroe,WV
54065,Morgan,WV
54067,Nicholas,WV
54069,Ohio,WV
54071,Pendleton,WV
54073,Pleasants,WV
54075,Pocahontas,WV
54077,Preston,WV
54079,Putnam,WV
54081,Raleigh,WV
54083,Randolph,WV
54085,Ritchie,WV
54087,Roane,WV
54089,Summers,WV
54091,Taylor,WV
54093,Tucker,WV
54095,Tyler,WV
54097,Upshur,WV
54099,Wayne,WV
54101,Webster,WV
54103,Wetzel,WV
54105,Wirt,WV
54107,Wood,WV
54109,Wyoming,WV
